Ngày,Diện tích,Dài,Rộng,Giá/m2
05-08-2020,40 m²,10 m,4 m,65 triệu/m²
05-08-2020,51 m²,12.75 m,4 m,100 triệu/m²
05-08-2020,36 m²,9 m,4 m,"86,11 triệu/m²"
05-08-2020,46 m²,12.1 m,3.8 m,"104,35 triệu/m²"
05-08-2020,75 m²,12 m,6.5 m,120 triệu/m²
05-08-2020,52 m²,13 m,4 m,"93,27 triệu/m²"
05-08-2020,52.8 m²,15.2 m,3.9 m,75 triệu/m²
05-08-2020,52 m²,12 m,4.2 m,"93,27 triệu/m²"
04-08-2020,90 m²,18 m,5 m,"108,89 triệu/m²"
04-08-2020,45 m²,12 m,4.2 m,"133,33 triệu/m²"
04-08-2020,32 m²,6.6 m,4.5 m,"60,94 triệu/m²"
04-08-2020,42 m²,10 m,4.5 m,"58,33 triệu/m²"
04-08-2020,42 m²,11 m,4 m,"29,76 triệu/m²"
04-08-2020,46 m²,9 m,5 m,"80,43 triệu/m²"
04-08-2020,43 m²,11 m,4 m,50 triệu/m²
04-08-2020,38 m²,10 m,3 m,"68,42 triệu/m²"
04-08-2020,35 m²,9 m,4 m,"55,71 triệu/m²"
04-08-2020,33 m²,9 m,4 m,"80,3 triệu/m²"
04-08-2020,200 m²,22 m,9 m,"47,25 triệu/m²"
04-08-2020,51 m²,6.6 m,3.5 m,"62,75 triệu/m²"
04-08-2020,70 m²,17 m,4 m,"114,29 triệu/m²"
04-08-2020,30 m²,10 m,3 m,"61,67 triệu/m²"
04-08-2020,36 m²,9 m,4 m,"59,72 triệu/m²"
04-08-2020,77 m²,17 m,4 m,"2,08 triệu/m²"
04-08-2020,34 m²,8.5 m,4 m,"104,41 triệu/m²"
04-08-2020,30 m²,9 m,3.4 m,"82,67 triệu/m²"
04-08-2020,18 m²,6 m,3.2 m,"105,56 triệu/m²"
04-08-2020,33 m²,11 m,3 m,"136,36 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"81,25 triệu/m²"
04-08-2020,32 m²,11 m,3.2 m,"89,06 triệu/m²"
04-08-2020,81 m²,22.5 m,3.6 m,"39,51 triệu/m²"
04-08-2020,20 m²,6.5 m,3 m,"97,5 triệu/m²"
04-08-2020,28 m²,7 m,3.9 m,100 triệu/m²
